country_name,news_num,latitude,longitude
US,701,39.7837304,-100.445882
DE,347,51.1638175,10.4478313
FR,211,46.603354,1.8883335
IT,205,42.6384261,12.674297
GB,192,54.7023545,-3.2765753
IN,174,22.3511148,78.6677428
AR,106,-34.9964963,-64.9672817
ID,104,-2.4833826,117.8902853
ES,103,39.3260685,-4.8379791
CH,94,46.7985624,8.2319736
TR,91,38.9597594,34.9249653
CA,78,61.0666922,-107.991707
MX,73,23.6585116,-102.0077097
PT,72,39.6621648,-8.1353519
RO,69,45.9852129,24.6859225
AT,66,47.59397,14.12456
IL,64,40.0796606,-89.4337288
AE,63,24.0002488,53.9994829
PK,56,30.3308401,71.247499
BR,53,-10.3333333,-53.2
NZ,51,-41.5000831,172.8344077
SA,44,25.6242618,42.3528328
AU,40,-24.7761086,134.755
IR,40,32.6475314,54.5643516
BE,28,50.6402809,4.6667145
TV,27,45.806691349999994,12.206315763116372
PH,24,12.7503486,122.7312101
NO,23,60.5000209,9.0999715
VE,22,8.0018709,-66.1109318
AF,21,33.7680065,66.2385139
NL,20,52.24764975,5.541246849406163
RU,20,54.7023545,-3.2765753
SE,20,59.6749712,14.5208584
KR,19,36.638392,127.6961188
BD,18,24.4769288,90.2934413
CL,18,-31.7613365,-71.3187697
CO,17,4.099917,-72.9088133
DK,17,55.670249,10.3333283
PE,16,-6.8699697,-75.0458515
IE,16,52.865196,-7.9794599
MY,15,39.7837304,-100.445882
CN,14,35.000074,104.999927
TK,13,50.103921650000004,14.390644173836446
FI,13,63.2467777,25.9209164
HR,12,45.5643442,17.0118954
TW,12,23.9739374,120.9820179
UA,9,49.4871968,31.2718321
PA,9,8.559559,-81.1308434
NG,9,9.6000359,7.9999721
QA,9,25.3336984,51.2295295
RS,9,44.1534121,20.55144
ZA,8,-28.8166236,24.991639
LU,8,50.8586338,22.7732404
VN,8,15.9266657,107.9650855
AZ,8,40.3936294,47.7872508
SI,8,45.8133113,14.4808369
PL,8,52.215933,19.134422
HK,8,22.350627,114.1849161
JP,7,36.5748441,139.2394179
DO,7,19.0974031,-70.3028026
BO,7,-17.0568696,-64.9912286
NC,6,35.6729639,-79.0392919
HU,6,47.1817585,19.5060937
JO,6,31.1667049,36.941628
AL,6,33.2588817,-86.8295337
IQ,6,33.0955793,44.1749775
MO,6,38.7604815,-92.5617875
SG,5,1.357107,103.8194992
LB,5,33.8750629,35.843409
GT,5,15.5855545,-90.345759
KE,5,1.4419683,38.4313975
LR,4,5.7499721,-9.3658524
UY,4,-32.8755548,-56.0201525
EE,4,58.7523778,25.3319078
BA,4,44.3053476,17.5961467
MD,4,39.5162401,-76.9382069
EC,3,-1.3397668,-79.3666965
IS,3,64.9841821,-18.1059013
SV,3,13.8000382,-88.9140683
LK,3,7.5554942,80.7137847
SN,3,14.4750607,-14.4529612
EG,3,26.2540493,29.2675469
RE,3,44.608664,10.594796841892734
CR,3,45.22086405,10.037037979628856
LT,3,55.3500003,23.7499997
MA,3,31.1728205,-7.3362482
TH,3,50.9014721,11.0377839
MK,2,41.6171214,21.7168387
PR,2,50.0874654,14.4212535
CU,2,23.0131338,-80.8328748
KH,2,12.5433216,104.8144914
AI,2,18.1954947,-63.0750234
BG,2,42.6073975,25.4856617
HN,2,15.2572432,-86.0755145
EU,2,50.0491699,1.4175744
NP,2,28.1083929,84.0917139
CZ,2,49.7439047,15.3381061
LI,1,47.1416307,9.5531527
FJ,1,-18.1239696,179.0122737
PY,1,-23.3165935,-58.1693445
TN,1,33.8439408,9.400138
SM,1,43.9458623,12.458306
BZ,1,16.8259793,-88.7600927
ZW,1,-18.4554963,29.7468414
SK,1,48.7411522,19.4528646
MT,1,35.8885993,14.4476911
SZ,1,-26.5624806,31.3991317
BY,1,53.4250605,27.6971358
PG,1,-5.6816069,144.2489081
CI,1,7.9897371,-5.5679458
GH,1,8.0300284,-1.0800271
BH,1,44.3053476,17.5961467
